Country,Type,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,g1971,g1972,g1973,g1974,g1975,g1976,g1977,g1978,g1979,g1980,g1981,g1982,g1983,g1984,g1985,g1986,g1987,g1988,g1989,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,g2015,g2016,g2017,g2018,g2019,g2020,g2021,g2022,g2023,g2024,g2025,g2026,g2027,g2028,g2029,g2030,g2031,g2032,g2033
Benin,C,834.83,800.70,829.48,837.09,841.45,778.19,763.12,778.51,765.78,792.33,820.25,874.14,866.14,802.94,839.79,874.71,865.66,826.15,827.70,778.84,821.73,828.91,825.80,833.59,818.26,850.19,863.82,886.05,891.97,909.35,931.44,949.21,961.40,963.53,975.76,960.99,967.94,995.53,1011.82,1002.49,990.84,987.14,1000.97,1038.04,1067.71,1050.40,1048.88,1070.88,1104.15,1140.46,1144.93,1186.22,1215.98,1244.42,1276.26,1339.34,1394.31,1438.85,1480.68,1517.98,1548.87,1575.88,1603.37,1631.34,-4.09,3.60,.92,.52,-7.52,-1.94,2.02,-1.64,3.47,3.52,6.57,-.91,-7.30,4.59,4.16,-1.03,-4.56,.19,-5.90,5.51,.87,-.37,.94,-1.84,3.90,1.60,2.57,.67,1.95,2.43,1.91,1.28,.22,1.27,-1.51,.72,2.85,1.64,-.92,-1.16,-.37,1.40,3.70,2.86,-1.62,-.15,2.10,3.11,3.29,.39,3.61,2.51,2.34,2.56,4.94,4.10,3.19,2.91,2.52,2.03,1.74,1.74,1.74
Burkina Faso,C,293.20,293.90,296.94,294.28,314.11,318.62,340.35,334.28,341.88,346.20,340.68,346.61,370.44,362.43,346.93,366.72,384.97,372.73,382.00,377.61,363.07,382.95,371.11,371.21,362.85,370.56,397.56,413.09,432.91,451.71,446.92,459.44,458.07,476.51,484.68,512.56,529.88,536.53,551.75,551.95,581.40,601.99,621.53,637.92,646.46,652.51,671.80,693.21,720.13,740.65,735.13,765.71,765.00,780.19,805.09,831.48,855.38,877.96,899.43,918.80,936.79,951.47,966.39,981.53,.24,1.03,-.89,6.74,1.44,6.82,-1.78,2.27,1.27,-1.59,1.74,6.87,-2.16,-4.28,5.70,4.98,-3.18,2.49,-1.15,-3.85,5.47,-3.09,.03,-2.25,2.13,7.29,3.91,4.80,4.34,-1.06,2.80,-.30,4.02,1.71,5.75,3.38,1.25,2.84,.04,5.34,3.54,3.25,2.64,1.34,.94,2.96,3.19,3.88,2.85,-.75,4.16,-.09,1.99,3.19,3.28,2.88,2.64,2.45,2.15,1.96,1.57,1.57,1.57
Cabo Verde,C,594.72,616.20,625.77,631.54,643.12,531.18,537.82,505.31,548.00,558.83,580.67,621.87,631.26,682.15,698.24,748.05,758.86,780.56,815.78,850.26,844.58,838.98,905.51,958.16,1112.56,1239.33,1347.19,1462.88,1610.23,1753.97,1965.12,1970.84,2036.02,2083.18,2256.07,2372.03,2520.11,2856.53,2999.44,2916.65,2915.93,2987.95,2977.20,2958.84,2935.52,2924.58,3021.04,3091.64,3189.65,3327.07,2799.40,2956.96,3438.02,3546.53,3673.50,3806.22,3945.00,4089.37,4239.03,4398.52,4564.01,4726.69,4895.17,5069.65,3.61,1.55,.92,1.83,-17.41,1.25,-6.05,8.45,1.98,3.91,7.09,1.51,8.06,2.36,7.13,1.45,2.86,4.51,4.23,-.67,-.66,7.93,5.81,16.11,11.39,8.70,8.59,10.07,8.93,12.04,.29,3.31,2.32,8.30,5.14,6.24,13.35,5.00,-2.76,-.02,2.47,-.36,-.62,-.79,-.37,3.30,2.34,3.17,4.31,-15.86,5.63,16.27,3.16,3.58,3.61,3.65,3.66,3.66,3.76,3.76,3.56,3.56,3.56
Côte d'Ivoire,C,2391.40,2486.22,2466.45,2494.28,2492.79,2590.33,2825.91,2932.67,3148.12,3122.27,2694.39,2703.79,2627.42,2449.04,2311.35,2342.79,2346.21,2267.25,2209.15,2178.31,2017.95,1903.75,1842.23,1770.21,1701.64,1756.53,1838.59,1858.61,1906.67,1888.91,1802.79,1759.09,1689.59,1626.29,1600.83,1584.71,1566.00,1549.49,1544.80,1553.10,1545.52,1446.15,1565.05,1661.44,1763.41,1873.40,1959.91,2054.57,2144.04,2239.27,2232.25,2336.41,2429.54,2519.90,2609.42,2708.10,2803.42,2891.28,2973.48,3046.36,3109.08,3157.85,3207.39,3257.70,3.97,-.80,1.13,-.06,3.91,9.09,3.78,7.35,-.82,-13.70,.35,-2.82,-6.79,-5.62,1.36,.15,-3.37,-2.56,-1.40,-7.36,-5.66,-3.23,-3.91,-3.87,3.23,4.67,1.09,2.59,-.93,-4.56,-2.42,-3.95,-3.75,-1.57,-1.01,-1.18,-1.05,-.30,.54,-.49,-6.43,8.22,6.16,6.14,6.24,4.62,4.83,4.35,4.44,-.31,4.67,3.99,3.72,3.55,3.78,3.52,3.13,2.84,2.45,2.06,1.57,1.57,1.57
Gambia,C,612.76,592.79,575.23,608.36,625.98,683.74,713.32,717.07,740.89,710.45,733.73,736.74,710.51,765.65,760.41,723.52,722.46,710.08,711.66,722.92,718.12,710.21,704.21,696.35,670.82,652.34,644.13,653.92,656.15,678.01,695.82,716.77,675.34,702.97,733.02,697.33,675.74,678.72,703.21,731.70,756.31,678.43,697.47,701.28,676.15,688.51,687.24,705.66,736.89,765.83,751.71,765.29,781.36,806.68,834.15,863.97,894.35,925.91,955.87,984.95,1013.95,1043.83,1074.59,1106.26,-3.26,-2.96,5.76,2.90,9.23,4.33,.53,3.32,-4.11,3.28,.41,-3.56,7.76,-.68,-4.85,-.15,-1.71,.22,1.58,-.66,-1.10,-.85,-1.12,-3.67,-2.75,-1.26,1.52,.34,3.33,2.63,3.01,-5.78,4.09,4.28,-4.87,-3.10,.44,3.61,4.05,3.36,-10.30,2.81,.55,-3.58,1.83,-.18,2.68,4.43,3.93,-1.84,1.81,2.10,3.24,3.41,3.57,3.52,3.53,3.24,3.04,2.94,2.95,2.95,2.95
Ghana,C,1148.25,1171.32,1107.14,1104.78,1150.98,986.92,931.27,931.62,990.18,947.95,936.90,887.37,806.38,720.14,741.05,753.47,760.68,777.64,801.88,823.23,831.62,856.62,871.17,891.20,899.83,920.64,946.85,969.51,996.52,1020.79,1037.96,1057.98,1082.55,1114.47,1151.87,1193.43,1241.80,1267.27,1353.43,1388.37,1465.05,1633.65,1746.02,1833.01,1845.23,1844.63,1867.06,1970.45,2044.11,2125.76,2087.73,2149.99,2185.55,2201.97,2240.86,2296.58,2349.97,2405.21,2459.39,2517.26,2574.02,2632.06,2691.41,2752.10,2.01,-5.48,-.21,4.18,-14.25,-5.64,.04,6.29,-4.27,-1.17,-5.29,-9.13,-10.70,2.90,1.68,.96,2.23,3.12,2.66,1.02,3.01,1.70,2.30,.97,2.31,2.85,2.39,2.79,2.44,1.68,1.93,2.32,2.95,3.36,3.61,4.05,2.05,6.80,2.58,5.52,11.51,6.88,4.98,.67,-.03,1.22,5.54,3.74,3.99,-1.79,2.98,1.65,.75,1.77,2.49,2.32,2.35,2.25,2.35,2.25,2.25,2.25,2.25
Guinea,C,539.83,558.74,561.54,560.21,579.12,585.14,620.18,588.61,617.27,598.78,603.20,595.81,595.42,592.07,574.49,572.54,573.40,579.45,602.55,612.91,607.67,582.56,580.97,594.96,600.84,609.50,616.68,643.33,658.47,663.57,665.35,686.07,713.78,703.56,703.07,710.37,704.48,734.67,745.65,718.60,734.03,755.18,779.27,789.11,796.67,805.01,868.22,932.27,963.09,989.18,1009.60,1018.95,1036.84,1055.10,1072.78,1089.91,1106.46,1121.53,1136.80,1152.30,1166.89,1180.52,1194.31,1208.27,3.50,.50,-.24,3.38,1.04,5.99,-5.09,4.87,-3.00,.74,-1.23,-.06,-.56,-2.97,-.34,.15,1.06,3.99,1.72,-.86,-4.13,-.27,2.41,.99,1.44,1.18,4.32,2.35,.77,.27,3.11,4.04,-1.43,-.07,1.04,-.83,4.29,1.49,-3.63,2.15,2.88,3.19,1.26,.96,1.05,7.85,7.38,3.31,2.71,2.06,.93,1.76,1.76,1.68,1.60,1.52,1.36,1.36,1.36,1.27,1.17,1.17,1.17
Guinea-Bissau,C,587.62,561.68,595.50,594.59,615.12,623.56,608.13,555.04,617.23,618.71,508.42,587.23,597.97,564.43,601.70,612.32,593.39,596.40,609.23,631.97,656.06,675.60,668.40,665.39,670.69,689.02,757.38,790.93,559.69,556.23,574.21,574.49,556.70,547.67,550.40,560.99,560.78,565.59,569.98,575.34,587.98,621.02,596.62,601.98,593.59,615.16,637.99,659.36,667.75,681.32,674.43,690.53,694.84,706.58,715.71,724.94,734.97,739.99,743.59,747.22,750.13,753.05,755.99,758.94,-4.41,6.02,-.15,3.45,1.37,-2.47,-8.73,11.20,.24,-17.83,15.50,1.83,-5.61,6.60,1.76,-3.09,.51,2.15,3.73,3.81,2.98,-1.07,-.45,.80,2.73,9.92,4.43,-29.24,-.62,3.23,.05,-3.10,-1.62,.50,1.92,-.04,.86,.78,.94,2.20,5.62,-3.93,.90,-1.39,3.63,3.71,3.35,1.27,2.03,-1.01,2.39,.62,1.69,1.29,1.29,1.38,.68,.49,.49,.39,.39,.39,.39
Liberia,C,2032.99,2072.98,2084.03,2099.83,2105.85,1973.15,2014.28,1979.12,2035.94,2073.60,1887.74,1761.39,1739.19,1629.10,1570.33,1491.10,1427.37,1406.94,1400.43,1393.09,346.72,339.60,209.35,135.22,106.56,101.74,111.13,210.71,246.03,282.38,764.14,767.48,780.06,543.92,554.15,558.63,572.16,598.09,617.05,631.32,650.65,674.54,700.91,743.39,730.63,712.34,683.24,683.16,674.16,641.71,623.01,523.96,532.77,540.77,551.60,562.02,572.01,581.48,589.97,598.59,606.76,614.45,622.23,630.12,1.97,.53,.76,.29,-6.30,2.08,-1.75,2.87,1.85,-8.96,-6.69,-1.26,-6.33,-3.61,-5.05,-4.27,-1.43,-.46,-.52,-75.11,-2.05,-38.35,-35.41,-21.19,-4.53,9.23,89.60,16.76,14.78,170.60,.44,1.64,-30.27,1.88,.81,2.42,4.53,3.17,2.31,3.06,3.67,3.91,6.06,-1.72,-2.50,-4.08,-.01,-1.32,-4.81,-2.92,-15.90,1.68,1.50,2.00,1.89,1.78,1.66,1.46,1.46,1.36,1.27,1.27,1.27
Mali,C,400.51,401.81,415.89,400.68,385.64,420.64,466.92,486.01,469.29,507.70,476.00,473.46,429.68,428.52,418.25,492.14,494.36,483.16,507.84,517.07,492.06,537.41,510.25,516.29,525.89,517.69,537.70,548.55,574.50,592.11,576.97,648.43,650.70,690.51,681.53,705.22,716.56,719.66,731.31,742.96,758.37,757.69,731.12,728.76,756.38,778.46,798.76,816.95,829.68,845.99,826.95,832.57,833.38,845.68,855.92,865.67,874.08,881.72,889.44,896.36,902.47,907.74,913.04,918.38,.33,3.50,-3.66,-3.75,9.08,11.00,4.09,-3.44,8.18,-6.24,-.53,-9.25,-.27,-2.40,17.67,.45,-2.27,5.11,1.82,-4.84,9.22,-5.05,1.18,1.86,-1.56,3.87,2.02,4.73,3.07,-2.56,12.39,.35,6.12,-1.30,3.48,1.61,.43,1.62,1.59,2.07,-.09,-3.51,-.32,3.79,2.92,2.61,2.28,1.56,1.96,-2.25,.68,.10,1.48,1.21,1.14,.97,.87,.88,.78,.68,.58,.58,.58
Niger,C,708.31,732.17,679.04,550.74,585.57,556.16,546.93,575.47,638.02,667.92,637.91,626.86,622.09,578.54,469.76,493.91,512.64,500.55,521.90,512.88,492.08,477.34,472.82,460.61,454.19,449.70,436.58,429.06,456.13,440.71,421.46,435.92,440.48,435.11,420.64,433.89,441.95,438.48,454.83,446.09,465.88,459.46,488.93,496.57,509.64,511.81,520.27,526.15,542.69,553.58,552.70,540.28,557.35,607.18,626.35,640.12,666.23,691.29,714.62,735.98,755.87,773.39,791.30,809.63,3.37,-7.26,-18.89,6.32,-5.02,-1.66,5.22,10.87,4.69,-4.49,-1.73,-.76,-7.00,-18.80,5.14,3.79,-2.36,4.26,-1.73,-4.06,-2.99,-.95,-2.58,-1.39,-.99,-2.92,-1.72,6.31,-3.38,-4.37,3.43,1.05,-1.22,-3.33,3.15,1.86,-.78,3.73,-1.92,4.44,-1.38,6.41,1.56,2.63,.43,1.65,1.13,3.14,2.01,-.16,-2.25,3.16,8.94,3.16,2.20,4.08,3.76,3.38,2.99,2.70,2.32,2.32,2.32
Senegal,C,1076.28,1042.83,1075.90,986.07,996.90,1046.90,1115.40,1060.79,995.09,1039.34,980.43,1004.51,1056.06,974.60,985.37,991.44,995.56,1028.28,994.87,1003.28,966.62,964.25,950.40,938.36,914.63,939.31,934.04,939.72,970.12,1007.65,1016.11,1035.65,1015.65,1055.20,1087.52,1118.37,1115.74,1140.20,1155.62,1149.37,1159.87,1146.95,1175.36,1178.47,1225.50,1271.82,1320.14,1384.38,1438.29,1479.20,1458.65,1506.61,1536.93,1619.70,1742.66,1784.15,1829.37,1872.29,1910.72,1946.25,1976.72,2001.88,2027.37,2053.19,-3.11,3.17,-8.35,1.10,5.02,6.54,-4.90,-6.19,4.45,-5.67,2.46,5.13,-7.71,1.11,.62,.42,3.29,-3.25,.85,-3.65,-.25,-1.44,-1.27,-2.53,2.70,-.56,.61,3.24,3.87,.84,1.92,-1.93,3.89,3.06,2.84,-.23,2.19,1.35,-.54,.91,-1.11,2.48,.26,3.99,3.78,3.80,4.87,3.89,2.84,-1.39,3.29,2.01,5.39,7.59,2.38,2.53,2.35,2.05,1.86,1.57,1.27,1.27,1.27
Sierra Leone,C,625.34,636.89,632.50,636.51,648.12,646.58,631.59,620.00,622.93,638.62,656.60,662.19,679.85,651.78,664.05,615.10,608.85,638.02,579.07,569.47,565.71,564.76,466.93,490.28,495.44,467.14,484.18,461.21,471.88,463.80,485.11,427.99,510.34,535.52,553.92,565.86,576.35,610.04,629.57,635.83,655.32,681.38,767.33,905.38,925.04,717.58,743.36,756.58,764.26,787.32,751.21,761.84,770.26,777.19,793.20,809.21,824.99,840.33,855.97,871.06,886.43,901.20,916.22,931.49,1.85,-.69,.63,1.83,-.24,-2.32,-1.83,.47,2.52,2.82,.85,2.67,-4.13,1.88,-7.37,-1.02,4.79,-9.24,-1.66,-.66,-.17,-17.32,5.00,1.05,-5.71,3.65,-4.74,2.31,-1.71,4.59,-11.77,19.24,4.94,3.44,2.16,1.85,5.85,3.20,.99,3.07,3.98,12.61,17.99,2.17,-22.43,3.59,1.78,1.02,3.02,-4.59,1.41,1.11,.90,2.06,2.02,1.95,1.86,1.86,1.76,1.76,1.67,1.67,1.67
Togo,C,606.02,588.94,615.98,621.57,633.17,630.22,599.72,623.16,672.19,618.79,687.78,641.98,597.65,545.75,556.19,566.89,556.11,539.76,555.86,558.81,538.93,517.72,481.25,410.70,468.74,478.95,497.68,548.03,519.22,517.05,498.67,488.80,493.72,512.62,493.66,459.40,459.44,440.74,445.52,456.64,471.09,487.56,505.35,521.76,537.83,553.59,568.95,578.54,591.21,606.67,601.72,617.56,634.88,657.85,683.80,713.16,743.52,769.66,797.50,825.56,853.81,883.02,913.23,944.47,-2.82,4.59,.91,1.87,-.47,-4.84,3.91,7.87,-7.94,11.15,-6.66,-6.90,-8.69,1.91,1.92,-1.90,-2.94,2.98,.53,-3.56,-3.93,-7.04,-14.66,14.13,2.18,3.91,10.12,-5.26,-.42,-3.55,-1.98,1.01,3.83,-3.70,-6.94,.01,-4.07,1.08,2.50,3.16,3.50,3.65,3.25,3.08,2.93,2.77,1.69,2.19,2.61,-.82,2.63,2.80,3.62,3.94,4.29,4.26,3.52,3.62,3.52,3.42,3.42,3.42,3.42
Other Sub-Saharan Africa,G,800.37,828.13,830.95,850.20,875.59,862.08,859.91,846.87,809.13,849.20,869.66,869.27,857.26,853.67,854.57,845.49,853.65,859.83,862.68,858.94,832.94,813.44,770.67,725.61,717.11,737.14,762.33,775.40,779.90,778.09,775.04,788.49,801.78,807.01,840.83,879.02,919.01,968.86,999.19,1003.89,1030.55,1060.46,1088.84,1114.62,1141.15,1155.94,1157.78,1165.45,1166.00,1165.61,1118.85,1132.17,1144.35,1152.35,1171.76,1198.28,1225.03,1251.08,1277.20,1303.97,1330.56,1356.96,1384.08,1411.93,3.47,.34,2.32,2.99,-1.54,-.25,-1.52,-4.46,4.95,2.41,-.04,-1.38,-.42,.11,-1.06,.96,.72,.33,-.43,-3.03,-2.34,-5.26,-5.85,-1.17,2.79,3.42,1.71,.58,-.23,-.39,1.74,1.69,.65,4.19,4.54,4.55,5.42,3.13,.47,2.66,2.90,2.68,2.37,2.38,1.30,.16,.66,.05,-.03,-4.01,1.19,1.08,.70,1.68,2.26,2.23,2.13,2.09,2.10,2.04,1.98,2.00,2.01
Angola,C,4504.27,4628.76,4499.96,4727.12,4855.54,4630.46,4303.23,4154.28,3822.46,3703.50,3624.01,3381.14,3297.53,3317.73,3394.30,3401.70,3382.97,3415.21,3513.32,3404.70,3179.86,3102.69,2819.25,2063.59,2013.05,2230.64,2447.02,2541.60,2578.81,2555.19,2555.96,2585.16,2840.92,2814.38,2996.57,3316.08,3565.94,3917.65,4195.39,4074.63,4114.67,4102.08,4286.80,4331.31,4374.47,4257.40,4001.30,3856.32,3648.91,3493.91,3184.10,3112.07,3108.68,3081.51,3066.07,3072.34,3060.19,3051.31,3045.41,3045.41,3048.36,3051.31,3054.27,3057.22,2.76,-2.78,5.05,2.72,-4.64,-7.07,-3.46,-7.99,-3.11,-2.15,-6.70,-2.47,.61,2.31,.22,-.55,.95,2.87,-3.09,-6.60,-2.43,-9.14,-26.80,-2.45,10.81,9.70,3.87,1.46,-.92,.03,1.14,9.89,-.93,6.47,10.66,7.54,9.86,7.09,-2.88,.98,-.31,4.50,1.04,1.00,-2.68,-6.02,-3.62,-5.38,-4.25,-8.87,-2.26,-.11,-.87,-.50,.20,-.40,-.29,-.19,.00,.10,.10,.10,.10
Botswana,C,715.10,876.27,1072.04,1252.45,1304.43,1348.71,1418.47,1507.12,1637.68,1750.72,1878.11,1973.91,2131.85,2326.06,2438.35,2526.38,2647.14,2871.22,3325.79,3647.33,3778.81,3942.45,3934.04,3883.27,3902.38,4055.78,4173.96,4403.86,4315.87,4627.03,4621.93,4542.44,4729.05,4861.35,4905.27,5038.76,5364.63,5707.58,5959.51,5409.69,5774.27,6022.04,6187.32,6777.25,6944.87,6718.48,6897.76,6988.40,7190.35,7293.00,6559.08,7199.95,7552.85,7754.06,7991.47,8227.14,8463.85,8697.79,8929.62,9167.86,9403.40,9617.11,9835.68,10059.22,22.54,22.34,16.83,4.15,3.39,5.17,6.25,8.66,6.90,7.28,5.10,8.00,9.11,4.83,3.61,4.78,8.47,15.83,9.67,3.60,4.33,-.21,-1.29,.49,3.93,2.91,5.51,-2.00,7.21,-.11,-1.72,4.11,2.80,.90,2.72,6.47,6.39,4.41,-9.23,6.74,4.29,2.74,9.53,2.47,-3.26,2.67,1.31,2.89,1.43,-10.06,9.77,4.90,2.66,3.06,2.95,2.88,2.76,2.67,2.67,2.57,2.27,2.27,2.27
Burundi,C,348.36,350.47,334.24,356.25,348.26,342.93,362.98,395.61,382.36,370.82,359.83,388.51,376.27,381.20,373.86,410.06,416.31,429.71,441.16,438.03,443.91,456.09,447.75,436.70,418.99,361.52,332.45,326.88,334.65,321.92,311.32,308.68,312.55,298.56,301.21,292.78,297.85,297.24,299.45,295.83,297.40,299.56,302.98,307.78,311.22,293.52,287.81,283.15,280.78,278.56,271.78,267.73,263.29,261.57,264.25,271.07,277.85,284.34,290.70,296.64,302.41,308.00,313.70,319.50,.61,-4.63,6.58,-2.24,-1.53,5.85,8.99,-3.35,-3.02,-2.96,7.97,-3.15,1.31,-1.93,9.68,1.52,3.22,2.67,-.71,1.34,2.74,-1.83,-2.47,-4.06,-13.72,-8.04,-1.67,2.38,-3.81,-3.29,-.85,1.26,-4.48,.89,-2.80,1.73,-.20,.74,-1.21,.53,.72,1.14,1.58,1.12,-5.69,-1.94,-1.62,-.84,-.79,-2.44,-1.49,-1.66,-.65,1.02,2.58,2.50,2.33,2.24,2.04,1.95,1.85,1.85,1.85
Cameroon,C,830.82,841.77,845.72,871.35,942.99,1024.57,943.24,1044.19,1238.07,1274.79,1205.75,1357.95,1423.34,1488.61,1553.40,1625.18,1679.10,1590.99,1421.67,1353.59,1232.09,1149.09,1080.02,964.66,956.03,960.47,973.72,995.86,1011.86,1026.42,1034.16,1050.29,1064.74,1082.87,1125.34,1117.57,1125.57,1148.16,1154.40,1146.50,1152.85,1167.94,1188.26,1218.46,1251.07,1280.36,1301.17,1311.43,1328.82,1344.42,1314.00,1324.67,1337.62,1357.45,1379.83,1405.17,1433.77,1458.90,1480.21,1498.96,1513.57,1525.37,1537.27,1549.25,1.32,.47,3.03,8.22,8.65,-7.94,10.70,18.57,2.97,-5.42,12.62,4.82,4.59,4.35,4.62,3.32,-5.25,-10.64,-4.79,-8.98,-6.74,-6.01,-10.68,-.89,.46,1.38,2.27,1.61,1.44,.75,1.56,1.38,1.70,3.92,-.69,.72,2.01,.54,-.68,.55,1.31,1.74,2.54,2.68,2.34,1.63,.79,1.33,1.17,-2.26,.81,.98,1.48,1.65,1.84,2.04,1.75,1.46,1.27,.97,.78,.78,.78
Central African Republic,C,645.26,637.08,622.75,622.31,648.20,634.51,651.79,659.26,650.09,617.28,573.67,549.83,576.77,516.20,546.67,550.37,557.49,517.73,512.81,508.54,483.89,467.64,425.27,413.96,421.86,442.22,415.48,427.38,436.79,441.90,421.08,431.85,439.39,407.14,424.12,420.69,432.25,442.73,442.33,470.12,481.43,490.97,504.86,314.34,307.95,314.53,322.55,332.44,341.46,346.52,343.60,340.80,336.44,337.79,345.17,353.59,361.44,368.55,374.34,378.76,381.74,384.37,387.02,389.69,-1.27,-2.25,-.07,4.16,-2.11,2.72,1.15,-1.39,-5.05,-7.06,-4.16,4.90,-10.50,5.90,.68,1.29,-7.13,-.95,-.83,-4.85,-3.36,-9.06,-2.66,1.91,4.82,-6.05,2.86,2.20,1.17,-4.71,2.56,1.75,-7.34,4.17,-.81,2.75,2.43,-.09,6.28,2.41,1.98,2.83,-37.74,-2.03,2.14,2.55,3.06,2.71,1.48,-.84,-.81,-1.28,.40,2.18,2.44,2.22,1.97,1.57,1.18,.79,.69,.69,.69
Chad,C,494.05,472.51,467.59,419.04,430.11,458.44,461.57,461.31,448.73,344.38,323.39,327.00,328.31,361.25,364.34,439.75,409.44,386.15,432.31,440.43,412.50,433.43,450.12,383.32,414.77,403.09,395.40,404.92,419.45,402.82,385.94,416.46,435.56,478.68,609.84,685.53,664.14,661.23,656.67,659.09,721.77,696.28,731.01,744.67,767.25,763.11,692.63,649.75,643.92,643.82,610.25,584.81,585.91,588.11,591.13,591.96,594.07,596.38,598.70,601.60,604.53,607.46,610.42,613.38,-4.36,-1.04,-10.38,2.64,6.59,.68,-.06,-2.73,-23.26,-6.09,1.12,.40,10.03,.86,20.70,-6.89,-5.69,11.95,1.88,-6.34,5.07,3.85,-14.84,8.20,-2.82,-1.91,2.41,3.59,-3.96,-4.19,7.91,4.59,9.90,27.40,12.41,-3.12,-.44,-.69,.37,9.51,-3.53,4.99,1.87,3.03,-.54,-9.24,-6.19,-.90,-.02,-5.21,-4.17,.19,.38,.51,.14,.36,.39,.39,.49,.49,.49,.49,.49
Democratic Republic of Congo,C,1185.86,1223.12,1191.84,1252.85,1256.73,1160.82,1068.94,1046.89,960.73,934.52,928.41,924.87,895.38,884.96,908.12,884.85,898.61,893.59,869.27,831.00,751.06,664.67,575.94,481.75,447.15,432.12,418.90,388.21,372.89,345.99,312.31,296.37,295.78,303.16,314.14,323.24,329.69,339.06,348.42,346.54,358.71,370.17,382.88,401.21,424.27,438.55,434.15,435.60,446.33,451.26,444.71,455.45,468.25,482.84,499.84,518.01,535.29,552.94,570.11,586.70,602.63,618.41,634.61,651.22,3.14,-2.56,5.12,.31,-7.63,-7.91,-2.06,-8.23,-2.73,-.65,-.38,-3.19,-1.16,2.62,-2.56,1.56,-.56,-2.72,-4.40,-9.62,-11.50,-13.35,-16.36,-7.18,-3.36,-3.06,-7.33,-3.95,-7.21,-9.73,-5.10,-.20,2.50,3.62,2.90,1.99,2.84,2.76,-.54,3.51,3.19,3.43,4.79,5.75,3.37,-1.00,.33,2.46,1.11,-1.45,2.42,2.81,3.12,3.52,3.63,3.34,3.30,3.10,2.91,2.72,2.62,2.62,2.62
Djibouti,C,4187.96,4251.71,4199.56,4212.55,3872.92,4115.71,4279.64,3541.62,3000.20,2901.89,2779.35,2711.01,2669.14,2600.29,2583.50,2527.01,2406.98,2342.38,2326.78,2136.69,1416.12,1240.38,1324.86,1421.85,1355.79,1415.85,1307.36,1312.02,1249.70,1235.67,1201.44,1181.38,1179.82,1262.48,1366.35,1391.06,1538.31,1579.78,1624.11,1810.50,1979.62,2184.62,2416.53,2677.81,2803.28,2952.31,3088.11,3175.62,3284.30,3393.03,3362.60,3481.08,3535.35,3647.29,3792.96,4013.26,4244.39,4486.21,4742.06,5007.84,5288.79,5585.51,5898.87,6229.81,1.52,-1.23,.31,-8.06,6.27,3.98,-17.24,-15.29,-3.28,-4.22,-2.46,-1.54,-2.58,-.65,-2.19,-4.75,-2.68,-.67,-8.17,-33.72,-12.41,6.81,7.32,-4.65,4.43,-7.66,.36,-4.75,-1.12,-2.77,-1.67,-.13,7.01,8.23,1.81,10.59,2.70,2.81,11.48,9.34,10.36,10.62,10.81,4.69,5.32,4.60,2.83,3.42,3.31,-.90,3.52,1.56,3.17,3.99,5.81,5.76,5.70,5.70,5.60,5.61,5.61,5.61,5.61
Equatorial Guinea,C,381.79,392.98,396.43,435.35,486.88,608.10,681.72,724.52,681.45,569.31,515.94,514.05,500.14,500.47,481.33,525.80,500.53,509.28,509.16,489.61,468.16,450.89,591.05,638.32,724.23,827.34,1339.87,3255.70,3916.54,4782.77,5493.47,8719.13,10119.20,11205.10,15028.57,17056.41,17862.86,20029.32,22955.34,22640.03,20072.62,20821.44,21968.23,20521.47,20085.87,17800.37,15831.18,14571.28,13318.57,12279.51,11233.30,11098.83,11191.56,10473.01,10145.72,10065.66,9998.12,9939.88,9891.58,9853.09,9833.88,9814.71,9795.58,9776.49,2.93,.88,9.82,11.84,24.90,12.11,6.28,-5.94,-16.46,-9.37,-.37,-2.70,.06,-3.82,9.24,-4.81,1.75,-.02,-3.84,-4.38,-3.69,31.09,8.00,13.46,14.24,61.95,142.99,20.30,22.12,14.86,58.72,16.06,10.73,34.12,13.49,4.73,12.13,14.61,-1.37,-11.34,3.73,5.51,-6.59,-2.12,-11.38,-11.06,-7.96,-8.60,-7.80,-8.52,-1.20,.84,-6.42,-3.13,-.79,-.67,-.58,-.49,-.39,-.19,-.19,-.19,-.19
